
algoritihms            x          y           z          rx          ry       rz    distance
point27  1.08883      -0.23555      -0.272336     1.5722        0.00725935   3.0525       1.14682
point28  1.08703      -0.23429      -0.271372     1.56635      -0.00202851   3.05037      1.14462
point29  1.08292      -0.234177     -0.273335     1.58002      -0.00828863   3.0531       1.14117
point30  1.08277      -0.230415     -0.273924     1.58231      -0.00359086   3.05371      1.14041
point31  1.08346      -0.230862     -0.273466     1.58191      -0.00314405   3.05303      1.14104
point32  1.08574      -0.229501     -0.271146     1.56877       0.00370293   3.04772      1.14237
mean     1.08921      -0.234347     -0.276835     1.57484      -0.00191838   3.05162      1.14802
var      1.29379e-05   1.23754e-05   1.15124e-05  0.000102736   0.00017573   4.28279e-06  1.76271e-05
std      0.00359692    0.00351787    0.003393     0.0101359     0.0132563    0.00206949   0.00419847

Tsai-Lenz              x             y             z           rx            ry           rz     distance
-----------  -----------  ------------  ------------  -----------  ------------  -----------  -----------
point0       1.09414      -0.242197     -0.282297     1.57739       0.022859     3.05707      1.15564
point1       1.09559      -0.238368     -0.281135     1.55652       0.0133024    3.05522      1.15593
point2       1.09686      -0.239687     -0.281767     1.56177       0.0142192    3.05492      1.15756
point3       1.09783      -0.238859     -0.281928     1.56375       0.00700881   3.05325      1.15834
point4       1.08866      -0.23625      -0.282669     1.56542       0.0275564    3.04816      1.14931
point5       1.09017      -0.235198     -0.282488     1.55744       0.0211171    3.04758      1.15047
point6       1.08861      -0.233678     -0.277984     1.56874       0.00991659   3.05087      1.14759
point7       1.09015      -0.229117     -0.279        1.57575      -0.018272     3.0541       1.14838
point8       1.09079      -0.229897     -0.278348     1.57647      -0.0215803    3.05568      1.14898
point9       1.08957      -0.228753     -0.278575     1.57822      -0.0243992    3.05343      1.14764
point10      1.08924      -0.230849     -0.275817     1.58172      -0.0105155    3.05342      1.14709
point11      1.08982      -0.231725     -0.274705     1.57931      -0.0059283    3.05243      1.14755
point12      1.08654      -0.233685     -0.278029     1.60848      -0.00639007   3.05179      1.14563
point13      1.08395      -0.231007     -0.27978      1.58422      -0.019571     3.0537       1.14306
point14      1.0832       -0.232457     -0.277902     1.58906      -0.0222393    3.0552       1.14218
point15      1.08855      -0.234544     -0.274043     1.56508      -0.0040435    3.05258      1.14676
point16      1.09111      -0.23826      -0.2764       1.5769        0.021187     3.05634      1.15051
point17      1.09017      -0.236904     -0.274616     1.56705       0.0138917    3.05496      1.14891
point18      1.08648      -0.240152     -0.275516     1.58218      -0.011843     3.05193      1.1463
point19      1.08734      -0.239512     -0.273944     1.58253      -0.00637436   3.05298      1.14661
point20      1.08951      -0.240768     -0.275519     1.58813       0.00180847   3.05468      1.14931
point21      1.08814      -0.240041     -0.276345     1.57292      -0.00513643   3.05189      1.14805
point22      1.09175      -0.235935     -0.274363     1.5782       -0.00582365   3.05325      1.15016
point23      1.09221      -0.235046     -0.273968     1.5741       -0.00695918   3.05351      1.15031
point24      1.09272      -0.235575     -0.27398      1.576        -0.00424905   3.05359      1.15091
point25      1.09193      -0.234592     -0.27397      1.58123      -0.00198607   3.05185      1.14996
point26      1.09229      -0.234997     -0.274345     1.5827       -0.000143951  3.05183      1.15047
point27      1.08888      -0.236031     -0.27197      1.57277       0.0085767    3.05448      1.14688
point28      1.0872       -0.234649     -0.270946     1.56648      -0.000749547  3.05244      1.14476
point29      1.08272      -0.234545     -0.272958     1.58015      -0.00701002   3.05517      1.14097
point30      1.08267      -0.230937     -0.273759     1.58246      -0.00160091   3.0551       1.14037
point31      1.08338      -0.231383     -0.273293     1.58206      -0.00115399   3.05443      1.14103
point32      1.08589      -0.230072     -0.271097     1.56888       0.0060092    3.0485       1.14262
mean         1.08933      -0.23502      -0.276468     1.57588      -0.000561115  3.05322      1.14819
var          1.42324e-05   1.30847e-05   1.14681e-05  0.000101546   0.000176954  4.68171e-06  1.91875e-05
std          0.00377259    0.00361728    0.00338645   0.010077      0.0133024    0.00216373   0.00438035
